======= MAC REG =======
0x05b0 0x00000501  0x00021000  0x00640064  0x00040064 
0x05c0 0x00000000  0x00000000  0x00000000  0x01e21051 
0x05d0 0x00000004  0x02410000  0x00000000  0x00000000 
0x05e0 0x00001000  0x00003000  0x00001000  0x00000003 
0x05f0 0x00000000  0x00000000  0x00000000  0xffff0000 
0x0600 0x04004000  0x00303000  0x90000001  0x85000418 
0x0610 0xd9882278  0x0000e693  0x00000000  0x00000000 
0x0620 0xffffffff  0xffffffff  0x00000000  0x00000000 
0x0630 0x08840000  0x00000002  0x100a6a50  0x0e0e0a0a 
0x0640 0x00401421  0x00c00064  0x00000000  0x00000000 
0x0650 0x00c80426  0x00000000  0x00000000  0x00000000 
0x0660 0x00940010  0x000042cc  0x0e301000  0x00052002 
0x0670 0x00000000  0x00000000  0x00000000  0x00000000 
0x0680 0x00000000  0x00000000  0x00000000  0x00000000 
0x0690 0x00100000  0x00000000  0x00000000  0x00000000 
0x06a0 0xffffffff  0x0000ffff  0x00000000  0x00000000 
0x06b0 0x00000000  0x00000000  0x00140009  0x03000000 
0x06c0 0xaaaaaaaa  0xaaaaaaaa  0x00000000  0x00000000 
0x06d0 0x00000000  0x00000000  0x0000003f  0x04840000 
0x06e0 0x00000000  0x00000000  0x00000000  0x00000000 
0x06f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x0700 0x00000000  0x00000000  0x00000000  0x00000000 
0x0710 0x00000000  0x00000000  0x200082c0  0x00000000 
0x0720 0x00000000  0x00000000  0x00000000  0x00000000 
0x0730 0x00000000  0x00000000  0x00000000  0x00000000 
0x0740 0x00000000  0x00000000  0x00000000  0x00000000 
0x0750 0x00000076  0x00000000  0x00000000  0x00000000 
0x0760 0x00000000  0x00000000  0x00000000  0x00000000 
0x0770 0x00000000  0x00000000  0x00000001  0x00000000 
0x0780 0x00000000  0x00000000  0x00000000  0x00000000 
0x0790 0x00000000  0x0000017f  0x04444400  0x02030405 
0x07a0 0x4a004010  0x01223425  0x88e088e0  0x880b880b 
0x07b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x07c0 0x00000000  0x00000000  0x00000000  0x00000000 
0x07d0 0x0fff0fff  0x0880a298  0xb1810041  0x000000a4 
0x07e0 0x001845a5  0x00000000  0x00000000  0x00000064 
0x07f0 0x00000000  0x00000000  0x00000000  0x00000000 
0x1000 0x80000803  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1010 0x626e5a58  0x804428aa  0x2c282150  0x020031b0 
0x1020 0xc0601706  0x00000002  0x00000124  0xeaeaeaea 
0x1030 0x25ed00ff  0x00000000  0xeaeaeaea  0x00000000 
0x1040 0x1478f3ff  0x7cff7a08  0xab89581a  0x00011e99 
0x1050 0xeaeaeaea  0x63ff7f02  0x00000006  0x00000000 
0x1060 0x0000007f  0x0021b2f3  0x001ee0eb  0x000043c3 
0x1070 0x00000000  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x1080 0x00010100  0xeaeaeaea  0x00000000  0xeaeaeaea 
0x1090 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x10a0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x10b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x10c0 0x00000000  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x10d0 0x0003e440  0x0003e440  0x00000000  0x00000000 
0x10e0 0xeaeaeaea  0xeaeaeaea  0xeaeaeaea  0xeaeaeaea 
0x10f0 0xeaeaeaea  0xeaeaeaea  0x00000000  0x80035ed1 
0x1100 0x0c000000  0x00000000  0x00000000  0x00000000 
0x1110 0x00000000  0x01102eff  0x00000e48  0x00000e48 
0x1120 0x00000f01  0x00000000  0x00000f01  0x00008000 
0x1130 0x00000000  0x00000000  0x03007001  0x20000000 
0x1140 0x00000000  0x00000000  0x00000000  0x00000000 
0x1150 0x00000000  0x00000000  0x07000002  0x07000020 
0x1160 0x0000003f  0x00000000  0x00000000  0x00000000 
0x1170 0x00000000  0x00000000  0x00000000  0x00000000 
0x1180 0x00000000  0x00000000  0x00000000  0x00000000 
0x1190 0x00000000  0x00000000  0x00000000  0x00000000 
0x11a0 0x00000000  0x00000000  0x00000000  0x00000000 
0x11b0 0x00000000  0x00000000  0x00000000  0x00000000 
0x11c0 0x00000000  0x03100001  0x00302010  0x00000000 
0x11d0 0x00000000  0x00000000  0x00000000  0x00000000 
0x11e0 0x000000ff  0x00000000  0x00000000  0x00000000 
0x11f0 0x00000000  0x00000000  0x01000000  0x00000000 
