[    0.000000] printk: log buffer data + meta data: 131072 + 557056 = 688128 bytes
[  178.414183] 8812eu: loading out-of-tree module taints kernel.
[  178.826518] usbcore: registered new interface driver rtl88x2eu
[10593.801923] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10593.818374] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10599.049750] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10599.062370] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10604.298782] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10604.314861] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10609.549218] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10609.567133] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10614.801647] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10614.818337] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10620.062275] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10620.078324] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10625.294396] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10625.322330] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10630.546107] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10630.566112] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10635.802346] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10635.830213] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10641.050015] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10641.074249] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10646.302312] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10646.322459] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10651.546095] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10651.570242] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10656.794487] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10656.826315] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10662.045361] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10662.070967] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10667.298702] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10667.330132] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10672.553955] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10672.574254] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10677.802458] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10677.818497] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10683.045790] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10683.074345] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10688.297980] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10688.318233] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10693.545883] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10693.562071] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10698.806709] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10698.826705] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10704.050390] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10704.078197] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10709.294545] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10709.310134] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10714.540924] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10714.558265] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10719.798031] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10719.814554] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10725.054329] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10725.078844] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10730.293890] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10730.318838] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10735.549971] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10735.574246] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10740.802300] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10740.826285] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10746.049909] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10746.070216] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10751.293799] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10751.330715] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10756.545427] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10756.562749] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10761.793990] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10761.830395] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10767.054316] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10767.074903] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10772.294221] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10772.310133] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10777.549733] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10777.574142] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10782.793615] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10782.814749] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10788.045820] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10788.070220] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10793.294415] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10793.310727] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10798.553883] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
[10798.578234] rtl88x2eu 1-1.1:1.0 wlu1u1: left promiscuous mode
[10803.794358] rtl88x2eu 1-1.1:1.0 wlu1u1: entered promiscuous mode
